Node,degree,closeness,betwennes,influence
0.0,0.1997697179044329,0.5180435430957352,0.3850521408543296,1.0
1.0,0.0097869890616004,0.3424009461856889,1.5046363620390775e-05,1.0
2.0,0.0057570523891767,0.3419291338582677,4.105863564806761e-07,0.0
3.0,0.0097869890616004,0.3424009461856889,9.109454099425683e-06,1.0
4.0,0.0057570523891767,0.3419291338582677,9.948823253185612e-07,0.0
5.0,0.0074841681059297,0.3421311798306086,1.1925428084704766e-05,0.0
6.0,0.003454231433506,0.3416601101494886,1.3265097670914152e-07,0.0
7.0,0.0115141047783534,0.3502722323049002,0.0001628193718054,1.0
8.0,0.0046056419113413,0.3417945690672963,1.492323487977842e-06,0.0
9.0,0.0328151986183074,0.3451221935227498,8.895149563829681e-05,1.0
10.0,0.0057570523891767,0.3419291338582677,2.695828194899569e-07,0.0
11.0,0.0005757052389176,0.3413244252308902,0.0,0.0
12.0,0.0005757052389176,0.3413244252308902,0.0,0.0
13.0,0.0178468624064479,0.3433484878434473,9.52682978987541e-06,1.0
14.0,0.0086355785837651,0.3422660098522167,3.01809684345918e-06,0.0
15.0,0.0005757052389176,0.3413244252308902,0.0,0.0
16.0,0.005181347150259,0.3418618382208226,1.0800882835723848e-06,0.0
17.0,0.0074841681059297,0.3421311798306086,2.220061485201604e-06,0.0
18.0,0.0005757052389176,0.3413244252308902,0.0,0.0
19.0,0.0092112838226827,0.3423334647221127,2.7370318194319536e-05,1.0
20.0,0.0086355785837651,0.3422660098522167,3.672666246387027e-06,0.0
21.0,0.0374208405296488,0.3534798534798535,0.0009938884198882,1.0
22.0,0.0063327576280944,0.3419964559952747,3.623638679123789e-06,0.0
23.0,0.0097869890616004,0.3424009461856889,3.708700223826415e-05,1.0
24.0,0.0092112838226827,0.3423334647221127,7.391870398563967e-07,0.0
25.0,0.0397236614853195,0.345947022505477,0.0002912794280157,1.0
26.0,0.0391479562464018,0.3458781362007168,0.0001046295888445,1.0
27.0,0.0028785261945883,0.3415929203539823,1.6581372088642688e-07,0.0
28.0,0.0074841681059297,0.3421311798306086,2.0608516008180134e-06,0.0
29.0,0.0074841681059297,0.3421311798306086,7.54396561057573e-06,0.0
30.0,0.0097869890616004,0.3424009461856889,7.403306770572084e-06,1.0
31.0,0.0132412204951065,0.3428063943161634,2.666582689116918e-05,1.0
32.0,0.003454231433506,0.3416601101494886,0.0,0.0
33.0,0.0011514104778353,0.3413915094339622,0.0,0.0
34.0,0.0028785261945883,0.375,0.0114199236889492,1.0
35.0,0.0011514104778353,0.3413915094339622,0.0,0.0
36.0,0.0063327576280944,0.3419964559952747,1.4738997412126834e-07,0.0
37.0,0.0005757052389176,0.3413244252308902,0.0,0.0
38.0,0.005181347150259,0.3418618382208226,3.9704217988708776e-06,0.0
39.0,0.0086355785837651,0.3422660098522167,5.161984654952702e-06,0.0
40.0,0.0253310305123776,0.3442330558858502,7.458140930933315e-05,1.0
41.0,0.0138169257340241,0.3428740623766285,2.526369434991483e-05,1.0
42.0,0.0011514104778353,0.3413915094339622,0.0,0.0
43.0,0.0005757052389176,0.3413244252308902,0.0,0.0
44.0,0.003454231433506,0.3416601101494886,0.0,0.0
45.0,0.006908462867012,0.342063804647499,1.6349593624093592e-06,0.0
46.0,0.0028785261945883,0.3415929203539823,0.0,0.0
47.0,0.0011514104778353,0.3413915094339622,0.0,0.0
48.0,0.0126655152561888,0.3427387529597474,2.8602320636822924e-05,1.0
49.0,0.0023028209556706,0.3415257569799449,9.948823253185612e-07,0.0
50.0,0.0063327576280944,0.3419964559952747,2.776230672404152e-06,0.0
51.0,0.0040299366724237,0.3417273263820578,4.974411626592806e-07,0.0
52.0,0.0011514104778353,0.3413915094339622,0.0,0.0
53.0,0.0178468624064479,0.3433484878434473,5.8650885911549024e-05,1.0
54.0,0.0046056419113413,0.3417945690672963,1.9526539607244463e-06,0.0
55.0,0.0097869890616004,0.3424009461856889,9.817818505242203e-07,1.0
56.0,0.0449050086355785,0.3544174658233013,0.0011203393454197,1.0
57.0,0.0086355785837651,0.3422660098522167,8.303080201236086e-06,0.0
58.0,0.006908462867012,0.4561449579831932,0.0060150094334272,1.0
59.0,0.0109383995394358,0.3425359889568132,3.932750510288388e-06,1.0
60.0,0.0046056419113413,0.3417945690672963,4.079439306735359e-07,0.0
61.0,0.001727115716753,0.3414586200117948,3.3162744177285377e-07,0.0
62.0,0.0149683362118595,0.3430094786729857,1.5494018512424305e-05,1.0
63.0,0.003454231433506,0.3416601101494886,0.0,0.0
64.0,0.0040299366724237,0.3426711382915762,1.400204754152049e-06,0.0
65.0,0.006908462867012,0.342063804647499,3.7268508342937337e-06,0.0
66.0,0.0086355785837651,0.3422660098522167,5.158535027264993e-07,0.0
67.0,0.0437535981577432,0.354272894146441,0.0009327101530146,1.0
68.0,0.005181347150259,0.3418618382208226,7.959058602548492e-07,0.0
69.0,0.0057570523891767,0.3419291338582677,1.0725992908937956e-06,0.0
70.0,0.0011514104778353,0.3413915094339622,0.0,0.0
71.0,0.001727115716753,0.3414586200117948,0.0,0.0
72.0,0.0138169257340241,0.3428740623766285,9.798420718232284e-06,1.0
73.0,0.0057570523891767,0.3419291338582677,3.252604820141412e-06,0.0
74.0,0.0005757052389176,0.3413244252308902,0.0,0.0
75.0,0.0080598733448474,0.3421985815602837,1.3780395853061352e-06,0.0
76.0,0.001727115716753,0.3414586200117948,0.0,0.0
77.0,0.003454231433506,0.3416601101494886,1.3817810073868904e-06,0.0
78.0,0.005181347150259,0.3418618382208226,0.0,0.0
79.0,0.006908462867012,0.342063804647499,1.1282670616391289e-07,0.0
80.0,0.0132412204951065,0.3576281655342804,0.0005050835360283,1.0
81.0,0.001727115716753,0.3414586200117948,3.3162744177285377e-07,0.0
82.0,0.0195739781232009,0.3435522151898734,3.9783941244590815e-05,1.0
83.0,0.0040299366724237,0.3417273263820578,4.974411626592806e-07,0.0
84.0,0.0074841681059297,0.3421311798306086,7.530296917278518e-06,0.0
85.0,0.0080598733448474,0.3421985815602837,2.720635204681132e-06,0.0
86.0,0.003454231433506,0.3416601101494886,0.0,0.0
87.0,0.0074841681059297,0.3497784937575513,4.15347480514849e-05,0.0
88.0,0.0115141047783534,0.342603550295858,2.459643888135725e-05,1.0
89.0,0.0046056419113413,0.3417945690672963,1.7907881855734098e-06,0.0
90.0,0.0011514104778353,0.3413915094339622,0.0,0.0
91.0,0.0046056419113413,0.3417945690672963,1.492323487977842e-06,0.0
92.0,0.0120898100172711,0.3426711382915762,3.69932086183688e-06,1.0
93.0,0.0046056419113413,0.3417945690672963,5.084954107183758e-07,0.0
94.0,0.0126655152561888,0.3427387529597474,1.1558466528600162e-05,1.0
95.0,0.003454231433506,0.3416601101494886,3.3162744177285377e-07,0.0
96.0,0.005181347150259,0.3418618382208226,4.236129209267387e-06,0.0
97.0,0.001727115716753,0.3414586200117948,2.210849611819025e-07,0.0
98.0,0.028209556706966,0.344574489188653,3.6505402795111525e-05,1.0
99.0,0.0074841681059297,0.3421311798306086,4.412224153873112e-06,0.0
100.0,0.005181347150259,0.3418618382208226,2.8741044953647324e-06,0.0
101.0,0.0109383995394358,0.3425359889568132,4.2656237688989215e-06,1.0
102.0,0.003454231433506,0.3416601101494886,0.0,0.0
103.0,0.0092112838226827,0.3499899254483175,8.290167101157223e-05,1.0
104.0,0.0184225676453655,0.3434163701067615,1.6301960657910607e-05,1.0
105.0,0.0080598733448474,0.3421985815602837,2.2075344723973518e-06,0.0
106.0,0.0046056419113413,0.3417945690672963,1.967129761754213e-06,0.0
107.0,0.6016119746689695,0.6825147347740668,0.8561881681631524,1.0
108.0,0.0074841681059297,0.3421311798306086,1.882141257195976e-06,0.0
109.0,0.0213010938399539,0.3437561844448842,3.1288043678795304e-05,1.0
110.0,0.0028785261945883,0.3415929203539823,0.0,0.0
111.0,0.0080598733448474,0.3421985815602837,8.268051155438434e-06,0.0
112.0,0.001727115716753,0.3414586200117948,0.0,0.0
113.0,0.0230282095567069,0.3439603960396039,2.826974811951456e-05,1.0
114.0,0.0005757052389176,0.3413244252308902,0.0,0.0
115.0,0.0120898100172711,0.3426711382915762,1.8021869816239576e-05,1.0
116.0,0.0097869890616004,0.3424009461856889,6.248042847773832e-06,1.0
117.0,0.003454231433506,0.3416601101494886,1.1330604260572503e-06,0.0
118.0,0.0207253886010362,0.3436881677878908,3.0784211176047896e-05,1.0
119.0,0.0356937248128958,0.3464299960111687,0.0004363174459134,1.0
120.0,0.0023028209556706,0.3491457286432161,4.219959196559551e-05,0.0
121.0,0.006908462867012,0.342063804647499,5.628098443973276e-06,0.0
122.0,0.0362694300518134,0.3533360455655004,0.0007630712330954,1.0
123.0,0.0103626943005181,0.342468454258675,2.66120292893764e-06,1.0
124.0,0.0023028209556706,0.3415257569799449,8.8433984472761e-07,0.0
125.0,0.0023028209556706,0.3491457286432161,7.432242514976954e-06,0.0
126.0,0.0040299366724237,0.3417273263820578,9.119754648753478e-07,0.0
127.0,0.0092112838226827,0.3423334647221127,3.443948590116701e-06,1.0
128.0,0.0161197466896948,0.3431450019755037,1.3156773991313484e-05,1.0
129.0,0.0040299366724237,0.3417273263820578,2.431934573000928e-07,0.0
130.0,0.0092112838226827,0.3423334647221127,1.3663057963178146e-05,1.0
131.0,0.0040299366724237,0.3417273263820578,0.0,0.0
132.0,0.0092112838226827,0.3423334647221127,1.072403713718317e-05,1.0
133.0,0.0103626943005181,0.342468454258675,9.75587600773484e-06,1.0
134.0,0.0109383995394358,0.3425359889568132,3.4186730580023457e-06,1.0
135.0,0.0057570523891767,0.3419291338582677,0.0,0.0
136.0,0.0765687967760506,0.3584399504746182,0.1219177381487418,1.0
137.0,0.0092112838226827,0.3423334647221127,1.1424302172692453e-05,1.0
138.0,0.0011514104778353,0.3413915094339622,0.0,0.0
139.0,0.005181347150259,0.3418618382208226,6.632548835457076e-08,0.0
140.0,0.0063327576280944,0.3419964559952747,4.953355916004054e-07,0.0
141.0,0.0161197466896948,0.3431450019755037,1.4517643805754949e-05,1.0
142.0,0.0247553252734599,0.3441648504061819,2.7936996071349644e-05,1.0
143.0,0.006908462867012,0.342063804647499,6.225120835564711e-06,0.0
144.0,0.0086355785837651,0.3422660098522167,4.560954036850028e-06,0.0
145.0,0.0011514104778353,0.3413915094339622,0.0,0.0
146.0,0.0057570523891767,0.3495673173676796,0.000133398940336,0.0
147.0,0.003454231433506,0.3416601101494886,1.3265097670914152e-07,0.0
148.0,0.0115141047783534,0.342603550295858,1.2994897705626714e-05,1.0
149.0,0.0080598733448474,0.3421985815602837,1.9808159736369023e-06,0.0
150.0,0.0063327576280944,0.3429417571569595,1.4656880140830692e-05,0.0
151.0,0.0040299366724237,0.3417273263820578,1.8423746765158545e-07,0.0
152.0,0.0028785261945883,0.3415929203539823,9.948823253185612e-07,0.0
153.0,0.0011514104778353,0.3413915094339622,0.0,0.0
154.0,0.0011514104778353,0.3413915094339622,0.0,0.0
155.0,0.001727115716753,0.3414586200117948,2.210849611819025e-07,0.0
156.0,0.006908462867012,0.3497080732836722,0.0001539955094371,0.0
157.0,0.001727115716753,0.3414586200117948,2.210849611819025e-07,0.0
158.0,0.0143926309729418,0.3429417571569595,2.5909297739675825e-05,1.0
159.0,0.0080598733448474,0.3421985815602837,6.224091976979124e-06,0.0
160.0,0.0011514104778353,0.3413915094339622,0.0,0.0
161.0,0.0143926309729418,0.3429417571569595,1.29972047353639e-05,1.0
162.0,0.0046056419113413,0.3417945690672963,3.158356588312893e-07,0.0
163.0,0.003454231433506,0.3563807960607304,8.119297667176806e-05,0.0
164.0,0.001727115716753,0.3414586200117948,9.47506976493868e-08,0.0
165.0,0.0063327576280944,0.3419964559952747,1.8274322867437916e-06,0.0
166.0,0.0023028209556706,0.3568200493015612,2.3766633327054514e-06,0.0
167.0,0.0040299366724237,0.3417273263820578,2.431934573000928e-07,0.0
168.0,0.0063327576280944,0.3419964559952747,1.6948711704990668e-06,0.0
169.0,0.0218767990788716,0.3515482695810564,0.0003904082743819,1.0
170.0,0.026482440990213,0.3443695479777954,6.528627469510305e-05,1.0
171.0,0.0126655152561888,0.457345971563981,0.0076643139130747,1.0
172.0,0.0236039147956246,0.3440285204991087,4.5285294295637296e-05,1.0
173.0,0.006908462867012,0.3755675675675676,0.0131339404435485,1.0
174.0,0.0023028209556706,0.3415257569799449,2.210849611819025e-07,0.0
175.0,0.0097869890616004,0.3424009461856889,1.7892090072792538e-05,1.0
176.0,0.0080598733448474,0.3421985815602837,1.7335794088668352e-06,0.0
177.0,0.0063327576280944,0.3419964559952747,1.681824883276616e-06,0.0
178.0,0.0074841681059297,0.3421311798306086,7.413021203416742e-06,0.0
179.0,0.001727115716753,0.3414586200117948,3.3162744177285377e-07,0.0
180.0,0.0115141047783534,0.342603550295858,4.9259715287667495e-06,1.0
181.0,0.0057570523891767,0.3419291338582677,9.948823253185612e-07,0.0
182.0,0.001727115716753,0.3414586200117948,2.210849611819025e-07,0.0
